bids_subject	bids_xdf	raw_xdf	original_participant
sub-001	001_nback.xdf	001_nback.xdf	001
sub-002	002_nback.xdf	002_nback.xdf	002
sub-003	003_nback.xdf	003_nback.xdf	003
sub-004	004_nback.xdf	004_nback.xdf	004
sub-005	005_nback.xdf	005_nback.xdf	005
sub-006	006_nback.xdf	006_nback.xdf	006
sub-007	007_nback.xdf	007_nback.xdf	007
sub-008	008_nback.xdf	008_nback.xdf	008
sub-009	009_nback.xdf	009_nback.xdf	009
sub-010	010_nback.xdf	010_nback.xdf	010
sub-011	011_nback.xdf	011_nback.xdf	011
sub-012	012_nback.xdf	012_nback.xdf	012
sub-014	014_nback.xdf	014_nback.xdf	014
sub-015	015_nback.xdf	015_nback.xdf	015
sub-016	016_nback.xdf	016_nback.xdf	016
sub-018	018_nback.xdf	018_nback.xdf	018
sub-019	019_nback.xdf	019_nback.xdf	019
sub-020	020_nback.xdf	020_nback.xdf	020
